epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0176,1.05236,1.68968,1.37028,0.67052,0.53423,0.57756,0.33177,1.56942,2.01429,1.83897,0.000663121,0.000663121,0.000663121
2,85.355,1.19641,1.44127,1.46379,0.50258,0.45352,0.45083,0.2609,1.45981,1.99361,1.76639,0.00131662,0.00131662,0.00131662
3,120.824,1.22481,1.36841,1.47564,0.58531,0.48862,0.48074,0.26439,1.6302,1.91406,2.03981,0.00195692,0.00195692,0.00195692
4,156.136,1.20436,1.30516,1.47846,0.68612,0.55379,0.57572,0.29973,1.69769,1.68171,2.01267,0.0019406,0.0019406,0.0019406
5,191.832,1.17341,1.21129,1.44712,0.75521,0.59245,0.66418,0.42865,1.30576,1.35563,1.62471,0.0019208,0.0019208,0.0019208
6,227.266,1.12562,1.17215,1.42367,0.78556,0.61969,0.69934,0.46555,1.22669,1.2656,1.53149,0.001901,0.001901,0.001901
7,262.46,1.08869,1.1164,1.39498,0.69488,0.56845,0.61877,0.38381,1.39832,1.48124,1.74796,0.0018812,0.0018812,0.0018812
8,297.811,1.09615,1.07803,1.38378,0.78606,0.69236,0.74569,0.5048,1.16011,1.06381,1.47336,0.0018614,0.0018614,0.0018614
9,333.189,1.0663,1.046,1.3662,0.75254,0.68189,0.735,0.48599,1.19419,1.17952,1.51897,0.0018416,0.0018416,0.0018416
10,368.386,1.04833,1.03602,1.35876,0.78743,0.6605,0.7285,0.48091,1.24752,1.11574,1.51055,0.0018218,0.0018218,0.0018218
11,403.602,1.04977,0.99637,1.35301,0.78842,0.67873,0.74802,0.49995,1.2208,1.09791,1.51153,0.001802,0.001802,0.001802
12,439.021,1.02112,0.98231,1.34161,0.79833,0.69298,0.7514,0.51336,1.11119,1.01287,1.41873,0.0017822,0.0017822,0.0017822
13,474.213,1.00845,0.9602,1.32363,0.74715,0.66286,0.71359,0.49569,1.07364,1.2397,1.40038,0.0017624,0.0017624,0.0017624
14,509.535,0.98321,0.9481,1.31746,0.79939,0.68765,0.75266,0.52146,1.13448,1.05576,1.44197,0.0017426,0.0017426,0.0017426
15,544.782,0.98663,0.90765,1.31072,0.80631,0.70889,0.77704,0.55692,1.07858,0.96328,1.37786,0.0017228,0.0017228,0.0017228
16,579.968,0.97877,0.90844,1.30977,0.8196,0.72935,0.79505,0.56065,1.08,0.93705,1.39385,0.001703,0.001703,0.001703
17,615.509,0.95599,0.88925,1.2946,0.8329,0.75531,0.81402,0.59555,1.0324,0.84256,1.34178,0.0016832,0.0016832,0.0016832
18,651.359,0.96964,0.89032,1.29323,0.85188,0.70815,0.79169,0.56753,1.06668,0.92741,1.37109,0.0016634,0.0016634,0.0016634
19,687.046,0.95389,0.88201,1.28629,0.82505,0.74391,0.81052,0.57899,1.03793,0.88472,1.35525,0.0016436,0.0016436,0.0016436
20,722.65,0.95005,0.87379,1.2896,0.85208,0.73682,0.82263,0.59412,1.00777,0.8672,1.34278,0.0016238,0.0016238,0.0016238
21,758.288,0.94372,0.84462,1.2777,0.84807,0.74443,0.81724,0.57992,1.02836,0.86631,1.34402,0.001604,0.001604,0.001604
22,793.776,0.9286,0.84611,1.27293,0.77866,0.69315,0.73946,0.52882,1.04618,1.03541,1.36762,0.0015842,0.0015842,0.0015842
23,829.17,0.92484,0.8349,1.26799,0.80016,0.74034,0.79276,0.55125,1.09452,0.923,1.37803,0.0015644,0.0015644,0.0015644
24,864.568,0.93117,0.81951,1.27087,0.83972,0.74351,0.80956,0.5887,1.00709,0.84913,1.33627,0.0015446,0.0015446,0.0015446
25,899.734,0.92833,0.80692,1.27359,0.86642,0.75527,0.82344,0.59891,1.0153,0.82276,1.33703,0.0015248,0.0015248,0.0015248
26,934.969,0.91728,0.7984,1.26549,0.82952,0.72777,0.79811,0.58919,1.01551,0.86963,1.33184,0.001505,0.001505,0.001505
27,970.221,0.93222,0.81901,1.26364,0.84804,0.74425,0.81736,0.59235,1.00207,0.84093,1.33265,0.0014852,0.0014852,0.0014852
28,1005.34,0.90449,0.79116,1.2487,0.83478,0.74736,0.81821,0.58907,1.03716,0.82963,1.34837,0.0014654,0.0014654,0.0014654
29,1040.38,0.90814,0.79197,1.24427,0.84066,0.75374,0.8239,0.59289,0.99455,0.84099,1.31524,0.0014456,0.0014456,0.0014456
30,1075.66,0.89097,0.77075,1.24686,0.84836,0.76829,0.83612,0.61055,0.99204,0.78055,1.32243,0.0014258,0.0014258,0.0014258
31,1110.63,0.89497,0.76129,1.24609,0.86294,0.76534,0.8421,0.62275,0.96112,0.75154,1.28654,0.001406,0.001406,0.001406
32,1145.81,0.86662,0.75328,1.23385,0.86616,0.75531,0.83571,0.6073,0.98916,0.76446,1.31074,0.0013862,0.0013862,0.0013862
33,1181.1,0.87203,0.75284,1.23817,0.85642,0.786,0.84826,0.62786,0.96111,0.72346,1.29351,0.0013664,0.0013664,0.0013664
34,1216.53,0.87368,0.75445,1.23494,0.87838,0.74194,0.82846,0.60612,0.96466,0.76172,1.30355,0.0013466,0.0013466,0.0013466
35,1251.93,0.86665,0.73337,1.22363,0.85587,0.78024,0.83668,0.60806,1.00535,0.77222,1.30774,0.0013268,0.0013268,0.0013268
36,1287.34,0.87831,0.74633,1.2389,0.871,0.77296,0.84548,0.62499,0.96889,0.73855,1.28329,0.001307,0.001307,0.001307
37,1322.62,0.87415,0.74547,1.23362,0.87514,0.7797,0.85229,0.63112,0.97311,0.72357,1.28672,0.0012872,0.0012872,0.0012872
38,1358.19,0.85996,0.72267,1.22411,0.88329,0.76318,0.84209,0.62953,0.93597,0.73058,1.26169,0.0012674,0.0012674,0.0012674
39,1393.94,0.87516,0.72023,1.22902,0.86449,0.77049,0.8323,0.61488,0.97903,0.75017,1.28575,0.0012476,0.0012476,0.0012476
40,1429.79,0.87809,0.72653,1.22265,0.83596,0.77983,0.83302,0.61183,0.94522,0.74471,1.26852,0.0012278,0.0012278,0.0012278
41,1465.23,0.85991,0.70883,1.21871,0.84415,0.78412,0.8405,0.62253,0.96354,0.72667,1.27732,0.001208,0.001208,0.001208
42,1500.91,0.85512,0.70248,1.21542,0.8729,0.78088,0.84025,0.62968,0.94219,0.72526,1.27685,0.0011882,0.0011882,0.0011882
43,1536.47,0.84327,0.69924,1.21245,0.85935,0.79799,0.85454,0.63816,0.95363,0.71046,1.26434,0.0011684,0.0011684,0.0011684
44,1571.95,0.86219,0.7021,1.22386,0.86677,0.77034,0.84289,0.62271,0.95504,0.72788,1.27304,0.0011486,0.0011486,0.0011486
